"ttmt" "ID" "rep" "mercury" "Count.Y0" "Count.Y24" "Count.R0" "Count.R24" "RF_w" "RF_r" "RF_slope" "strain" "host" "host.label" "plasmid" "reference_host" "reference_host_label" "reference_plasmid" "reference"
"3C" "3C" 10 0 2457 2550 2415 2838 1.0267641955717 0.124248026002022 -0.416495938622542 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 10 40 2457 2556 2415 2846 1.02685071253659 0.124712769586878 -0.464984302484303 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 2 40 2338 2323 2728 2748 1.00298800589633 0.0137410436404917 0.685829899578084 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C" 2 0 2338 2325 2728 2913 1.01547757397807 0.0711905620066382 0.217724442530928 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 5 40 2658 2705 2378 2567 1.0127523255582 0.058950151613022 0.128515965533705 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C" 1 0 2614 2441 2428 2758 1.04318378712703 0.195911729965066 -0.65484272043183 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 1 40 2614 2513 2428 2672 1.02960373881834 0.135163739117723 -0.476681556748924 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 9 40 2383 2566 2447 2932 1.02283186968387 0.106833931487031 -0.644417011102689 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 3 40 2348 2405 2616 2799 1.00942499530769 0.0436297753464894 0.0871036622215054 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C" 5 0 2658 2662 2378 2597 1.01879737436411 0.086593374730155 -0.0558327262870791 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 8 40 2755 2475 2182 2733 1.07388518742012 0.332335066119276 -0.553310746806168 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C" 4 0 2622 2375 2298 3142 1.09137578119673 0.411760308261768 -0.734592907781114 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 6 40 2410 2586 2569 2743 0.998941316615883 -0.0049500390193824 1.22204557969341 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"4A" "4A" 4 0 2727 1585 2338 4000 1.26574824507667 1.07961619460422 -0.916890002168665 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 4 40 2727 700 2338 5244 1.66794143344027 2.16766575065376 -0.992475063226058 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 9 40 2204 698 2786 5288 1.51822190258164 1.7906432947022 -1.05081528704678 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
"4A" "4A.H" 5 40 2444 666 2649 5119 1.59268923638325 1.95887854693661 -1.01769343015932 "SBW25d4242.dTomato pQBR57d0059" "SBW25d4242" "dTomato" "pQBR57d0059" "SBW25" "YFP" "pQBR57" "SBW25.YFP pQBR57"
